,FragmentID, SessionEndDate,La historia involucra…-X,La historia involucra…-Y,Esta historia me enseñó-X,Esta historia me enseñó-Y,La lección impacto en…-X,La lección impacto en…-Y,Es importante…-X,Es importante…-Y,Tono emocional,¿Cuándo sucedieron,¿La experiencia que compartiste es?,¿Qué tan común?,¿Por cuánto tiempo?,¿Quién crees que debe saber sobre esta historia?,¿En cuántos colegios/escuelas has estado?,Edad,Grado,Institucion Educativa Distrital,Género,FragmentEntry,StoryTitle,Temas,Familia,EstudiosAcudiente,Describe algo que es…,Sentí que tuve…,Las materias en clase...,El aprendizaje aplicado...,El aprendizaje por descubrimiento...,El auto-aprendizaje...
0,841120e2-ec20-4f5b-984b-49bf1940c7e6,2019/07/16 13:39:39.341,0.77876157,0.10362393,0.8454282,0.07031626,0.5083912,0.71796584,0.11579861,0.06661538,Triste,No se,Una opinión,Común,Por algun tiempo,Los profesores y las directivas,En más de 4,15,10,6. Camilo Mora,femenino,"ME PARECE QUE EL COLEGIO ES BUENO, TIENE LOS APARATOS QUE NECESITA, COMPUTADORES, TELEVISORES, ETC..  ESTAMOS EN UN BUEN ESTABLECIMIENTO, PERO LOS ESTUDIANTES ME PARECEN DEMASIADO INDISCIPLINADOS E IRRESPETUOSO EN VARIAS OCASIONES.",la apariencia de un excelente colegio,Educación / aprendizaje,"mamá,Hermanos","Bachiller,Pregrado (profesional)",Pasa frecuentemente,Total control,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro
1,3594641d-b693-47c1-9a69-0b7ef1922cc7,2019/07/16 13:30:25.864,0.9713542,0.029606836,0.0046875,0.0037008803,0.052835647,0.0,0.9713542,0.048111133,Indiferente,Hace dos años,Una opinión,Pasa todo el tiempo,Por algun tiempo,Los profesores y las directivas,En 2,13,8,6. Camilo Mora,femenino,la verdad en el colegio hay algunas ocasiones en la que la que la pasamos bien y mal porque no hay buena relacion entre los maestros y estudiantes somos muy negativos en eso de saludar y ser amigos pero si deberiamos tratar de manejar esa situacion,la amistad entre maestros y estudiantes,"Relación con los compañeros,Relación con los profesores","mamá,Hermanos",Pregrado (profesional),,Absolutamente ningun control,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro
2,5f8e38a2-9bbb-4ef9-8c52-0f9aac03bb22,2019/07/23 15:05:32.089,,,0.9750579,0.037008546,0.008391203,0.007401709,0.056539353,0.007401709,Feliz,Hace más de dos años,Experiencia personal,Pasa una vez cada tanto,Por siempre,Nadie,En 2,13,8,3. Bello Oriente,masculino,EL PRIMER DIA Q LLEGE A MI COLEGIO...      El primer dia q yo vine a esta institucion tuve miedo de q mis amigos me trataran mal y no creyeran q yo seria un amigo per pasaron dias y luego me volvi su amigo y despues todos mis amigos y yo os volvimos muy amigos y empesamos a jugar futbol q ses l q mas nos gusta y pasaron 3 años y sigo conviviendo con ellos,El titular seria yo,Relación con los compañeros,mamá,No tiene educación formal,Pasa todo el tiempo,Total control,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa poco / Importa poco para mi futuro
3,ad431439-bf4e-4a48-9d9f-f1f6e91ba406,2019/08/06 15:22:08.464,0.8602431,0.07771797,0.64542824,0.07771797,0.49357638,0.8289915,0.36394677,0.37378633,Muy Feliz,Siempre,Experiencia personal,Común,Por siempre,Los compañeros,En más de 4,16,10,2.Álvaro Marín Velasco,masculino,"para mi este colegio es bueno,por su buen nivel academico y disciplinario. brindan mucha ayuda...explican bien las clases son dinámicas y algunas aburren, me dan mucho apoyo  y animo para salir adelante...",mi futuro,Educación / aprendizaje,otros familiares,Pregrado (profesional),Novedoso,,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa poco / Importa poco para mi futuro
4,01c6237d-a62f-403c-a04e-c546216f4db9,2019/07/24 14:16:58.041,0.96394676,0.051811963,0.9195023,0.0,0.83802086,0.040709425,0.9750579,0.018504297,Feliz,Siempre,Una opinión,Común,Por mucho tiempo,Todo el mundo,Sólo en este,13,7,7. Jesús Amigo,masculino,estudio acá desde toda la vida y me a parecido un colegio diferente a los demás es un colegio es un colegio de puertas abiertas donde todo el mundo puede entrar sin ningún permiso aunque creo que eso es algo negativo por que no falta que entre un ladrón y se ponga a robar a los estudiantes a los/las profes etc.....,mi experiencia en el colegio jesus amigo,La seguridad en el colegio,"mamá,Hermanos",Pregrado (profesional),Pasa todo el tiempo,,,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro
5,f36f4542-dd08-45b2-bb6f-c9a09612affc,2019/07/24 14:29:00.765,0.5009838,0.8511966,0.0046875,0.007401709,0.5009838,0.86229914,0.041724537,0.044410255,Muy Feliz,Hace un año,Experiencia personal,Muy rara y única,Por siempre,Los profesores y las directivas,En 2,12,6,7. Jesús Amigo,masculino,mi  colegio es bueno yo recocho con mis amigos  yo juego basqueball y con benitez me divierto en la salida yo me mantengo muy bien en este colegio,el mjor colegio,Relación con los compañeros,otros familiares,Técnico,Completamente novedoso,Total control,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro
6,849e73fc-e829-456c-9dbf-166d2aca8ba3,2019/08/01 15:49:31.911,0.68616897,0.20724785,0.7898727,0.07031626,0.8454282,0.092521384,0.7676505,0.12582906,Muy Feliz,Siempre,Una opinión,Pasa todo el tiempo,Por algun tiempo,Los profesores y las directivas,En 2,16,11,10. Rodrigo Correa Palacio,masculino,en este colegio cambio los pc  por que esta ya esta como muy viejosen este colegio soy jugador de microfutbol  intercolegiados y ps soy uno de los que me gustaria que implementaran nuevos materiales deportivos ya que los que lo que están son muy viejos y desechables .,el reparador rcp  el jigador rcp,Tecnología,otros,Postgrado (especialización maestría),Pasa todo el tiempo,Total control,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro
7,e684a0a2-fa2b-47fe-8215-913adddac148,2019/07/16 15:52:08.230,0.082465276,0.022205127,,,0.9750579,0.040709425,0.9750579,0.022205127,Indiferente,No se,Una experiencia que alguien te compartió,Común,Por mucho tiempo,Los profesores y las directivas,En 2,12,6,6. Camilo Mora,femenino,"durante la vida mia escolar a sido muy importante pero en unas ocaciones a sido un poca aburridor ,pero bueno en es muy chevere  .",mi historia de mi vida.,Educación / aprendizaje,"Papá,mamá,Hermanos",Bachiller,,,,,Me interesa mucho / Importa mucho para mi futuro,
8,db40b81e-a36e-4cbb-90a1-4b2cf7a2dfb0,2019/07/15 16:09:22.576,0.4935184,0.27390954,0.49356475,0.5736325,0.87134254,0.1628376,0.23060189,0.08511968,Muy Feliz,No se,Una experiencia que alguien te compartió,Muy rara y única,Por siempre,Nadie,En 2,8,3,11. San Benito,femenino,lloantes  bibiaen  benesuela  imimama  desidio  benricepara  colanbia  prolasituasion  de mipais   ycuando    bine  mecentifeliz  imedieron  elaopllode  estudira  erprolloer  ylarretora,me siento muy feliz   demipais,Relación con la familia,"mamá,Hermanos,otros familiares",Pregrado (profesional),Pasa todo el tiempo,Poco control,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,,Me interesa mucho / Importa mucho para mi futuro
9,bd3cdc71-f66d-49e9-9fbd-0abf7faec2d8,2019/07/18 13:29:39.888,0.8195023,0.092521384,0.5083912,0.0814188,0.48246527,0.07401709,0.18987268,0.06661538,Indiferente,No se,Una opinión,Común,Por algun tiempo,Nadie,En 2,13,7,9. Reino de Bélgica,femenino,lo positivo es q en el colegio nos encañan cosas nuevas q nunca aviamos visto q hacen q nos divirtamos con las actividades q nos asen q nos enseñan hacer mejor a colaborar a respetar etc los profesores son muy buenos pero al de matemáticas casi no le entendemos nada de lo q explica,una nueva vida,La seguridad en el colegio,"Papá,mamá,Hermanos","Primaria,Bachiller",,Total control,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro
